AL HADEED TRADERS
Chart of Inventory Items
1 	OIl
2010047 	Oil Fliter EE 262
2010048 	Oil Fliter A5
2010049 	Oil Fliter A6
2010050 	Oil Fliter EE 250
2010051 	Oil Fliter CUP
2010052 	Oil Fliter MAX 41010 (157)
2010053 	Oil Fliter MAX 42000 (237)
2010054 	Oil Fliter MAX 1305 (151)
2010055 	Oil Fliter EE 200
2010056 	Oil Fliter EE 279
2010057 	Oil Fliter EE 271
2010058 	Oil Fliter EE 3345
2010059 	Oil Fliter EE 3342
2010060 	Oil Fliter EE 355
2010061 	Oil Fliter EE 327
2010062 	Oil Fliter EE 4054
Dizel Filter	202
2020001 	Dizel Filter EE 1510L
2020002 	Dizel Filter EE 1510
2020003 	Dizel Filter EE 1332
2020004 	Dizel Filter EE 349
2020005 	Dizel Filter EE 296
2020006 	Dizel Filter EE 258
2020007 	Dizel Filter EE 254
2020008 	Dizel Filter EE 243
2020009 	Dizel Filter EE 247
2020010 	Dizel Filter EE 212
2020011 	Dizel Filter EE 180
2020012 	Dizel Filter EE 171
2020013 	Dizel Filter EE 165
2020014 	Dizel Filter EE 120
2020015 	Dizel Filter EE 118
2020016 	Dizel Filter EE 115
2020017 	Dizel Filter EE 109
2020018 	Dizel Filter EE 103
2020019 	Dizel Filter EE 343
2020020 	Dizel Filter EE 226
2020021 	Dizel Filter EE 172
2020022 	Dizel Filter EE 267
2020023 	Dizel Filter EE 260
2020024 	Dizel Filter EE 275
2020025 	Dizel Filter EE 333
2020026 	Dizel Filter EE 1204
2020027 	Dizel Filter EE 276
2020028 	Dizel Filter EE 348
Page 4 of 8	Date 5/14/2026 	Printed By: Administrator

-- 4 of 8 --

2020029 	Dizel Filter EE 313
2020030 	Dizel Filter EE 707
2020031 	Dizel Filter EE 282
2020032 	Dizel Filter EE 379
2020033 	Dizel Filter EE 107
2020034 	Dizel Filter EE 334WD
Air Flter	203
2030001 	Air Flter EE 2200
2030002 	Air Flter EE 805
2030003 	Air Flter EE 651
2030004 	Air Flter EE 526
2030005 	Air Flter EE 607
2030006 	Air Flter EE 508
2030007 	Air Flter EE 508D
2030008 	Air Flter EE 505
2030009 	Air Flter EE 505D
2030010 	Air Flter EE 147
2030011 	Air Flter EE 143
2030012 	Air Flter EE 141
2030013 	Air Flter EE 140
2030014 	Air Flter EE 140D
2030015 	Air Filter EE 123
2030016 	Air Flter MAX 21030
2030017 	Air Flter MAX 13780-78100
2030018 	Air Flter SUZUKI 74P00 B
2030019 	Air Flter MAX 74P00
2030020 	Air Flter SUZUKI 13780B76M00N000
2030021 	Air Flter 21050
2030022 	Air Flter 22020
2030023 	Air Flter EE-814D
2030024 	MAX-44000
2030025 	Air Flter 17801-B2050
2030026 	Air Flter 17801-23030
2030027 	Air Flter 17801-0M020 good
2030028 	Air Flter SUZUKI 74P00 A
2030029 	Air Filter Mahran Old
2030030 	Air Filater 13780A84250P000
2030031 	Air Flter JAC Shahzoor KLX 1417
2030032 	Air Flter 22020 good
2030033 	Air Flter EE 312 (Genter)
2030034 	(OSAKA) Air Flter JAC KLX 1417
2030035 	(HYUNDAI) Air Flter JAC KLX 1417
2030036 	Air Filter EE 227
2030037 	Air Flter 17801-21060 Vitz New
2030038 	Air Flter EE 872
AC Filter	204
2040001 	ALTO AC Filter Silicon
2040002 	ALTO AC Filter
2040003 	AC Filter Corolla Old Model Silicon
2040004 	AC Filter Corolla Oid Model
2040005 	AC Filter Corolla New Model
2040006 	AC Filter Corolla New Model Silicon
Total Number of Items :- 140
3 	Brake Oil
(Guard) Brake Oil	301
Page 5 of 8	Date 5/14/2026 	Printed By: Administrator

-- 5 of 8 --

3010001 	(Guard) Brake Oil 200ml
